Date,Description,Amount
2024-01-01,SALARY DEPOSIT,-5000.00
2024-01-03,ESKOM ELECTRICITY PAYMENT,450.00
2024-01-05,SHELL FUEL STATION,280.50
2024-01-05,CHECKERS SUPERMARKET,320.75
2024-01-08,RENT PAYMENT LANDLORD,3500.00
2024-01-10,VODACOM INTERNET,199.99
2024-01-12,TAKEALOT GROCERIES,520.00
2024-01-15,SALARY DEPOSIT,-5000.00
2024-01-15,BANK SERVICE CHARGE,49.99
2024-01-18,SHELL FUEL STATION,250.00
2024-01-20,PICK N PAY FOOD,180.50
2024-01-22,WATER SERVICES PAYMENT,320.00
2024-01-25,SALON SERVICE RECEIPT,150.00
2024-02-01,SALARY DEPOSIT,-5500.00
2024-02-02,ESKOM ELECTRICITY PAYMENT,520.00
2024-02-05,UBER TRANSPORT,145.50
2024-02-08,RENT PAYMENT LANDLORD,3500.00
2024-02-10,VODACOM PHONE BILL,220.00
2024-02-12,SPAR GROCERIES,420.00
2024-02-15,SALARY DEPOSIT,-5500.00
2024-02-18,SHELL FUEL,300.00
2024-02-20,JUNK FOOD RESTAURANT,85.50
2024-02-22,BANK TRANSFER REFUND,-150.00
2024-03-01,SALARY DEPOSIT,-6000.00
2024-03-03,ESKOM PAYMENT,480.00
2024-03-05,FUEL STATION PURCHASE,320.00
2024-03-08,RENT LANDLORD PAYMENT,3500.00
